PARID,neighbourhood_group,zipcode,neighbourhood,hotel_counts_per_neighbourhood
1004911351,Manhattan,10013,Chinatown,907
1004911352,Manhattan,10013,Chinatown,907
1004911353,Manhattan,10013,Chinatown,907
1004911354,Manhattan,10013,Chinatown,907
1004911355,Manhattan,10013,Chinatown,907
1004911356,Manhattan,10013,Chinatown,907
1004911357,Manhattan,10013,Chinatown,907
1004911358,Manhattan,10013,Chinatown,907
1004911359,Manhattan,10013,Chinatown,907
1004911360,Manhattan,10013,Chinatown,907
1004911361,Manhattan,10013,Chinatown,907
1004911362,Manhattan,10013,Chinatown,907
1004911363,Manhattan,10013,Chinatown,907
1004911364,Manhattan,10013,Chinatown,907
1004911365,Manhattan,10013,Chinatown,907
1004911366,Manhattan,10013,Chinatown,907
1004911367,Manhattan,10013,Chinatown,907
1004911368,Manhattan,10013,Chinatown,907
1004911369,Manhattan,10013,Chinatown,907
1004911370,Manhattan,10013,Chinatown,907
1004911371,Manhattan,10013,Chinatown,907
1004911372,Manhattan,10013,Chinatown,907
1004911373,Manhattan,10013,Chinatown,907
1004911374,Manhattan,10013,Chinatown,907
1005500024,Manhattan,10003,East Village,76
1004911375,Manhattan,10013,Chinatown,907
1004911376,Manhattan,10013,Chinatown,907
1004911377,Manhattan,10013,Chinatown,907
1004911378,Manhattan,10013,Chinatown,907
1004911379,Manhattan,10013,Chinatown,907
1004911380,Manhattan,10013,Chinatown,907
1004911381,Manhattan,10013,Chinatown,907
1004911382,Manhattan,10013,Chinatown,907
1004911383,Manhattan,10013,Chinatown,907
1004911384,Manhattan,10013,Chinatown,907
1004911385,Manhattan,10013,Chinatown,907
1004911386,Manhattan,10013,Chinatown,907
1004911387,Manhattan,10013,Chinatown,907
1004911388,Manhattan,10013,Chinatown,907
1004911389,Manhattan,10013,Chinatown,907
1004911390,Manhattan,10013,Chinatown,907
1004911391,Manhattan,10013,Chinatown,907
1004911392,Manhattan,10013,Chinatown,907
1004911393,Manhattan,10013,Chinatown,907
1004911394,Manhattan,10013,Chinatown,907
1004911395,Manhattan,10013,Chinatown,907
1004911396,Manhattan,10013,Chinatown,907
1004911397,Manhattan,10013,Chinatown,907
1004911398,Manhattan,10013,Chinatown,907
1004911399,Manhattan,10013,Chinatown,907
